5.59600,0.00000,0.00000
5.85200,0.00000,0.00000
5.95200,0.00000,0.00000
6.05200,0.00000,0.00000
6.15200,0.00000,0.00000
6.25200,0.00000,0.00000
6.35200,0.00000,0.00000
6.45200,0.00000,0.00000
6.55200,0.00000,0.00000
6.65200,0.00000,0.00000
6.75200,0.00000,0.00000
6.85200,0.00000,0.00000
6.95200,0.00000,0.00000
7.05200,0.00000,0.00000
7.15200,0.00000,0.00000
7.25200,0.00000,0.00000
7.35200,0.00000,0.00000
7.45200,0.00000,0.00000
7.55200,0.00000,0.00000
7.65200,0.00000,0.00000
7.75200,0.00000,0.00000
7.85200,0.00000,0.00000
7.95200,0.00000,0.00000
8.05200,0.00000,0.00000
8.15200,0.00000,0.00000
8.32100,0.00000,0.00000
8.42100,0.00000,0.00000
8.52100,0.00000,0.00000
8.62100,0.00000,0.00000
8.72100,0.00000,0.00000
8.82100,0.00000,0.00000
8.92100,0.00000,0.00000
9.02100,0.00000,0.00000
9.12100,0.00000,0.00000
9.22100,0.00000,0.00000
9.48900,0.00000,0.00000
9.58900,0.00000,0.00000
9.68900,0.00000,0.00000
9.78900,0.00000,0.00000
9.88900,0.00000,0.00000
9.98900,0.00000,0.00000
10.08900,0.00000,0.00000
10.18900,0.00000,0.00000
10.28900,0.00000,0.00000
10.38900,0.00000,0.00000
10.48900,0.00000,0.00000
10.58900,0.00000,0.00000
10.68900,0.00000,0.00000
10.78900,0.00000,0.00000
10.88900,0.00000,0.00000
10.98900,0.00000,0.00000
11.08900,0.00000,0.00000
11.18900,0.00000,0.00000
11.28900,0.00000,0.00000
11.38900,0.00000,0.00000
11.48900,0.00000,0.00000
11.58900,0.00000,0.00000
11.68900,0.00000,0.00000
11.78900,0.01803,0.01853
11.92800,0.01803,0.01853
12.02800,0.01803,0.01853
12.12800,0.01803,0.01853
12.22800,0.01803,0.01853
12.32800,0.01803,0.01853
12.42800,0.01803,0.01853
12.52800,0.01803,0.01853
12.62800,0.01803,0.01853
12.72800,0.01589,0.01639
12.82800,0.01589,0.01639
12.92800,0.01589,0.01639
13.02800,0.01589,0.01639
13.12800,0.01589,0.01639
13.22800,0.01589,0.01639
13.32800,0.01589,0.01639
13.42800,0.01589,0.01639
13.52800,0.01589,0.01639
13.62800,0.01589,0.01639
13.72800,0.01828,0.01878
13.82800,0.01828,0.01878
13.92800,0.01828,0.01878
14.02800,0.01828,0.01878
14.12800,0.01828,0.01878
14.22800,0.01828,0.01878
14.32800,0.01828,0.01878
14.42800,0.01828,0.01878
14.52800,0.01828,0.01878
14.62800,0.01828,0.01878
14.72800,0.01959,0.02009
14.82800,0.01959,0.02009
14.92800,0.01959,0.02009
15.02800,0.01959,0.02009
15.12800,0.01959,0.02009
15.22800,0.01959,0.02009
15.32800,0.01959,0.02009
15.42800,0.01959,0.02009
15.52800,0.01959,0.02009
15.62800,0.01959,0.02009
15.72800,0.02244,0.02294
15.82800,0.02244,0.02294
15.92800,0.02244,0.02294
16.02800,0.02244,0.02294
16.12800,0.02244,0.02294
16.22800,0.02244,0.02294
16.32800,0.02244,0.02294
16.42800,0.02244,0.02294
16.52800,0.02244,0.02294
16.62800,0.02244,0.02294
16.72800,0.02351,0.02401
16.82800,0.02351,0.02401
16.92800,0.02351,0.02401
17.02800,0.02351,0.02401
17.12800,0.02351,0.02401
17.22800,0.02351,0.02401
17.32800,0.02351,0.02401
17.42800,0.02351,0.02401
17.52800,0.02351,0.02401
17.62800,0.02351,0.02401
17.72800,0.02280,0.02330
17.82800,0.02280,0.02330
17.92800,0.02280,0.02330
18.02800,0.02280,0.02330
18.12800,0.02280,0.02330
18.22800,0.02280,0.02330
18.32800,0.02280,0.02330
18.42800,0.02280,0.02330
18.52800,0.02280,0.02330
18.62800,0.02280,0.02330
18.72800,0.02289,0.02339
18.82800,0.02289,0.02339
18.92800,0.02289,0.02339
19.02800,0.02289,0.02339
19.12800,0.02289,0.02339
19.22800,0.02289,0.02339
19.32800,0.02289,0.02339
19.42800,0.02289,0.02339
19.52800,0.02289,0.02339
19.62800,0.02289,0.02339
19.72800,0.02342,0.02392
19.82800,0.02342,0.02392
19.92800,0.02342,0.02392
20.02800,0.02342,0.02392
20.12800,0.02342,0.02392
20.22800,0.02342,0.02392
20.32800,0.02342,0.02392
20.42800,0.02342,0.02392
20.52800,0.02342,0.02392
20.62800,0.02342,0.02392
20.72800,0.02277,0.02327
20.82800,0.02277,0.02327
20.92800,0.02277,0.02327
21.02800,0.02277,0.02327
21.12800,0.02277,0.02327
21.22800,0.02277,0.02327
21.32800,0.02277,0.02327
21.42800,0.02277,0.02327
21.52800,0.02277,0.02327
21.62800,0.02277,0.02327
21.72800,0.02257,0.02307
21.82800,0.02257,0.02307
21.92800,0.02257,0.02307
22.02800,0.02257,0.02307
22.12800,0.02257,0.02307
22.22800,0.02257,0.02307
22.32800,0.02257,0.02307
22.42800,0.02257,0.02307
22.52800,0.02257,0.02307
22.62800,0.02257,0.02307
22.72800,0.02214,0.02264
